<ticker>,<name>,<date>,<per>,<open>,<high>,<low>,<close>,<vol>,<o/i>
ITLMS.MI,????,05/07/2019,D,23465.429688,23588.189453,23465.429688,23512.550781,0,0
^VIX,????,05/07/2019,D,15.900000,16.350000,15.800000,16.270000,0,0
^FTSE,????,05/07/2019,D,7380.640137,7380.640137,7315.299805,7318.859863,0,0
FTSEMIB.MI,????,05/07/2019,D,21444.390625,21554.810547,21440.390625,21457.130859,0,0
^GDAXI,????,05/07/2019,D,12298.709961,12319.049805,12238.549805,12255.040039,0,0
A2A.MI,????,05/07/2019,D,1.451500,1.469500,1.457000,1.458500,3370108,0
AGL.MI,????,05/07/2019,D,8.650000,8.800000,8.620000,8.695000,263124,0
ANIM.MI,????,05/07/2019,D,3.436000,3.410000,3.376000,3.394000,353768,0
ATL.MI,????,05/07/2019,D,23.500000,23.830000,23.299999,23.760000,182332,0
AZM.MI,????,05/07/2019,D,17.254999,17.885000,16.950001,17.870001,843444,0
BMPS.MI,????,05/07/2019,D,1.337000,1.339000,1.314000,1.321000,439619,0
BAMI.MI,????,05/07/2019,D,2.068000,2.080000,2.047000,2.053000,2761751,0
BPE.MI,????,05/07/2019,D,4.139000,4.181000,4.140000,4.160000,472027,0
BZU.MI,????,05/07/2019,D,19.360001,19.459999,19.330000,19.365000,92245,0
CNHI.MI,????,05/07/2019,D,9.260000,9.458000,9.260000,9.434000,1352340,0
CPR.MI,????,05/07/2019,D,8.900000,9.090000,8.900000,9.070000,1708391,0
ENEL.MI,????,05/07/2019,D,5.588000,5.632000,5.575000,5.623000,5877045,0
ENI.MI,????,05/07/2019,D,14.900000,14.860000,14.712000,14.732000,2969177,0
EXO.MI,????,05/07/2019,D,57.619999,57.740002,56.540001,57.540001,46979,0
FBK.MI,????,05/07/2019,D,10.645000,11.300000,10.565000,10.895000,3213171,0
FCA.MI,????,05/07/2019,D,13.934000,14.018000,13.870000,13.920000,2259770,0
FCAU,????,05/06/2019,D,15.330000,15.700000,15.310000,15.680000,3528980,0
